default,account_check_status,credit_history,purpose,savings,present_emp_since,installment_as_income_perc,other_debtors,present_res_since,property,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,rango_plazos_credito,rango_valor_credito,sexo,estado_civil,rango_edad
0,3,5,4,1,1,4,2,4,4,3,1,2,3,1,0,1,2,4,0,1,1
0,2,3,1,2,1,4,1,4,1,3,2,1,3,1,1,1,1,2,0,1,4
1,2,1,10,5,4,3,1,4,4,3,1,1,3,1,1,1,5,16,0,1,4
0,4,5,8,1,2,4,1,2,3,3,2,1,3,1,0,1,1,3,1,0,5
0,2,3,10,4,3,4,1,4,3,3,2,1,3,1,0,1,2,3,0,1,2
0,2,5,5,5,1,4,1,4,1,3,2,1,3,1,0,1,3,3,0,1,2
0,2,4,2,1,2,3,1,4,2,1,1,2,4,2,1,1,2,8,0,1,2
0,4,3,1,4,1,4,1,4,1,3,1,1,2,1,0,1,2,2,0,0,3
0,2,3,5,5,2,4,1,4,3,3,1,1,3,1,0,1,3,3,0,1,1
0,4,4,5,5,3,3,1,2,1,3,2,1,3,1,0,1,1,1,1,0,1
0,2,5,4,5,2,4,1,3,3,3,1,1,3,1,1,1,1,2,0,1,2
0,4,3,2,1,4,2,1,4,3,3,1,1,3,1,1,1,1,3,0,0,1
1,2,5,3,5,3,2,2,3,3,3,2,2,4,2,1,1,2,12,0,1,2
1,4,2,1,5,1,2,1,4,4,1,2,2,4,2,1,1,2,7,0,1,2
0,2,3,1,5,2,2,1,2,3,3,2,1,3,1,0,1,1,7,0,1,2
0,1,3,4,1,4,1,1,2,2,3,2,1,3,1,1,0,2,8,1,0,1
0,2,3,10,3,1,1,1,2,1,3,2,1,3,1,1,1,2,2,0,0,2
0,2,4,10,4,1,1,1,2,3,1,2,2,3,2,0,1,1,2,0,0,2
0,3,3,8,5,4,4,1,4,2,3,1,1,3,1,1,1,2,1,1,0,1
0,2,3,1,5,2,3,1,3,1,3,1,1,2,1,0,1,2,7,0,1,1
1,4,5,1,5,3,4,1,2,1,2,2,2,3,1,1,1,3,8,1,0,1
0,1,3,5,3,1,3,1,1,1,3,2,1,3,1,0,1,1,2,0,0,2
0,4,5,5,1,1,4,1,1,1,3,2,1,3,1,1,1,4,4,0,1,3
1,1,3,5,1,2,4,1,3,3,3,2,1,4,1,1,1,4,8,1,0,1
0,1,5,4,1,4,2,2,3,1,3,1,2,3,1,0,0,1,3,1,0,1
1,1,5,4,3,3,1,1,4,3,3,2,2,3,1,0,1,3,5,1,0,1
0,2,5,1,3,2,3,1,3,3,3,2,1,4,1,1,1,1,3,0,0,2
1,1,3,5,5,3,3,1,2,1,3,2,2,3,1,1,1,2,2,1,0,1
0,4,5,2,5,1,4,1,2,3,3,1,2,4,1,1,1,2,4,1,0,3
0,4,3,4,5,3,3,1,2,1,3,1,1,2,1,0,1,1,2,0,1,1
0,3,5,1,5,1,4,1,4,4,3,3,2,3,1,1,1,1,1,0,1,5
1,2,3,4,1,4,4,1,3,1,3,1,1,3,1,0,1,2,2,1,0,1
0,1,5,1,5,3,4,1,2,2,3,2,2,3,1,0,1,1,3,0,1,1
0,1,3,5,5,3,4,1,2,1,3,2,1,2,1,0,1,1,1,0,0,2
1,2,3,7,5,3,4,1,2,3,3,2,1,3,1,0,1,1,1,0,1,1
0,2,5,2,5,5,4,1,2,3,3,2,2,4,1,1,1,1,2,0,1,2
1,1,5,1,5,3,3,2,2,1,3,2,2,3,1,0,1,1,4,1,0,1
0,2,3,1,1,2,1,1,2,3,3,2,1,3,1,0,1,4,9,1,0,1
1,1,4,8,5,3,4,1,3,2,2,2,1,3,1,1,1,3,7,0,1,1
0,4,3,4,5,4,2,1,3,2,1,2,2,2,1,0,1,2,3,0,1,1
0,4,3,4,5,3,4,1,4,4,1,3,2,3,1,0,1,2,2,0,1,3
0,4,3,5,4,2,2,1,4,1,3,2,1,3,1,1,1,5,11,1,0,1
0,4,5,5,1,1,4,1,2,1,3,2,2,3,1,1,1,1,2,1,0,2
0,4,4,2,2,3,2,1,2,3,3,2,2,3,1,0,1,3,9,0,1,1
1,2,3,5,3,3,4,1,3,1,3,2,1,2,1,0,1,1,1,0,1,5
0,2,5,5,1,2,4,3,2,1,1,2,3,3,1,1,1,2,3,0,1,2
0,3,3,5,5,3,2,1,2,3,3,1,1,2,1,1,1,1,2,1,0,3
0,3,3,1,2,4,2,1,2,1,3,2,1,1,1,0,0,1,1,0,0,1
0,2,3,5,5,4,4,1,1,4,3,2,1,4,1,1,1,3,5,1,0,1
0,1,3,5,5,3,3,1,2,3,3,2,1,4,1,0,1,3,4,0,1,1
1,1,3,4,5,3,2,1,2,3,3,2,1,3,1,0,1,2,3,0,1,1
0,4,5,4,5,4,4,1,4,2,3,2,1,3,1,1,1,2,3,1,0,1
0,2,2,10,4,2,4,1,2,3,3,2,1,3,1,0,1,4,4,0,1,1
0,1,5,1,5,1,1,1,4,4,3,2,2,3,1,1,1,1,1,1,0,2
0,4,5,1,4,2,4,1,3,3,3,2,2,3,1,1,1,1,1,1,0,4
0,1,5,4,5,3,3,3,2,2,3,2,2,3,1,0,1,3,6,0,1,1
0,4,5,5,2,1,4,1,4,3,3,2,2,3,1,0,1,2,2,0,1,3
0,4,3,5,4,1,2,1,4,4,1,3,1,3,2,1,1,1,2,0,1,3
0,4,3,5,5,3,1,1,4,2,3,2,1,3,1,1,0,1,2,0,1,2
0,3,3,5,5,3,4,1,1,3,3,2,1,3,1,0,1,3,6,0,1,1
0,2,5,2,2,1,2,1,4,4,3,1,1,3,1,0,1,2,8,1,0,1
0,2,4,10,4,2,4,1,4,3,3,1,1,4,1,1,1,2,7,0,1,2
1,1,3,4,5,3,2,1,4,3,3,1,1,3,1,0,1,1,2,1,0,1
0,1,5,7,4,1,3,3,4,1,3,2,2,3,2,0,0,1,2,0,1,3
0,1,2,9,5,1,4,1,1,3,1,2,1,2,1,0,1,1,1,0,0,3
0,2,3,1,4,2,2,1,3,3,1,2,2,3,1,1,1,2,4,0,1,2
0,4,5,5,1,3,1,1,2,1,3,2,2,2,2,0,1,1,2,0,1,2
0,4,5,5,4,1,3,1,4,1,3,2,1,3,2,1,1,2,3,0,1,2
0,4,5,1,5,4,4,1,1,2,3,2,2,3,1,0,1,2,2,1,0,1
0,4,3,6,3,2,4,1,3,2,3,2,2,3,1,1,1,2,2,0,1,2
0,2,3,1,5,5,2,1,4,4,1,3,1,4,1,1,1,1,8,0,1,5
0,4,3,1,3,1,4,1,4,2,3,2,1,3,1,0,1,3,1,0,1,2
0,4,3,4,3,3,1,1,2,3,3,2,1,3,1,1,1,1,3,0,1,2
1,1,3,4,5,5,4,1,2,3,3,2,1,3,1,0,1,2,2,1,0,2
0,2,3,4,2,4,4,1,1,1,3,2,1,3,1,0,1,1,2,1,0,1
0,4,3,4,5,2,2,1,4,2,3,1,1,3,1,1,1,2,4,1,0,1
1,2,5,10,5,1,4,1,4,1,3,2,2,3,1,1,1,2,2,0,0,2
1,1,1,1,5,1,4,1,3,3,3,1,2,3,2,0,1,2,1,0,1,2
0,4,3,4,5,3,4,1,1,1,3,2,1,3,1,1,1,1,1,1,0,1
1,2,4,4,5,5,3,1,2,2,3,2,1,4,1,1,1,2,3,1,0,2
0,2,3,5,5,3,4,3,2,1,3,2,1,3,1,0,0,1,2,0,1,2
1,1,4,8,5,4,2,1,1,2,3,2,2,3,1,0,1,2,4,0,1,1
1,4,2,2,1,5,4,1,1,1,1,2,1,4,1,1,1,3,8,1,0,4
0,1,3,4,5,3,2,1,1,3,3,2,1,3,1,0,1,1,3,0,0,3
0,1,5,5,3,1,4,1,4,3,3,2,2,3,1,0,1,1,1,0,1,4
0,4,3,5,5,2,4,1,2,3,3,1,2,4,2,1,1,1,2,0,1,2
0,1,5,1,5,1,4,1,4,1,3,2,2,3,1,0,1,2,1,0,1,5
1,4,4,10,5,4,1,1,1,3,3,2,2,3,1,0,1,3,10,0,0,1
1,2,4,10,5,3,2,1,2,1,2,2,2,4,1,1,1,3,5,0,0,1
1,1,2,1,1,3,4,1,2,2,3,2,2,2,2,0,1,2,2,0,1,2
0,4,5,4,2,3,4,1,4,1,3,2,1,3,1,1,1,2,4,0,1,3
1,2,5,1,5,1,4,1,4,3,1,2,1,3,2,1,1,2,1,0,1,2
0,4,5,5,5,3,4,1,2,2,3,2,2,3,1,0,1,2,2,0,1,2
1,2,2,2,5,1,2,1,4,4,1,3,1,4,2,1,1,1,6,1,0,6
0,2,5,1,5,5,2,1,3,3,3,3,3,1,1,1,1,2,2,0,1,5
1,1,3,5,4,2,4,1,1,2,3,2,1,3,1,0,1,1,1,0,0,1
0,2,1,4,5,3,1,1,4,3,1,2,2,3,1,1,1,2,4,1,0,2
1,4,3,10,2,3,2,1,3,2,3,2,3,4,1,1,1,2,5,0,1,4
1,2,1,10,4,2,4,1,4,4,3,3,1,2,2,0,1,4,4,0,1,2
1,2,3,10,5,3,4,1,2,3,3,2,1,3,2,1,1,3,4,0,1,2
0,4,3,5,5,2,2,1,2,1,3,1,1,3,1,0,1,1,3,0,0,1
1,2,3,5,4,3,4,3,4,2,3,1,1,3,1,0,1,4,4,0,1,1
1,2,5,8,5,1,2,1,3,3,3,2,2,4,1,1,1,1,2,1,0,2
0,4,5,5,5,3,1,1,1,3,3,2,2,3,1,1,1,1,2,1,0,1
1,2,3,4,4,4,4,1,4,3,1,1,4,3,1,0,1,1,1,1,0,1
0,2,3,2,1,1,4,1,4,4,1,3,1,3,1,1,1,2,3,0,1,2
1,2,4,4,5,1,4,1,3,4,3,2,1,4,1,1,1,2,5,0,0,2
0,4,5,8,3,1,4,1,2,3,3,2,2,3,1,1,1,1,1,0,1,4
0,1,3,1,5,3,4,1,3,1,3,2,1,2,1,0,1,1,2,0,0,1
0,4,4,10,5,2,3,1,4,3,3,2,2,3,1,0,1,3,6,0,1,1
1,1,3,9,5,2,4,1,4,2,3,1,1,3,1,0,1,1,1,0,0,1
0,4,5,1,5,1,4,1,1,1,3,2,2,2,2,0,1,1,2,0,1,2
0,1,5,2,5,1,3,1,4,4,3,3,3,4,2,1,1,3,11,0,1,2
0,4,5,4,5,1,4,1,4,1,3,2,3,3,1,1,1,1,2,0,1,3
0,2,5,6,5,2,4,1,3,2,3,2,1,3,1,0,1,1,2,0,1,1
0,1,3,10,5,3,2,1,2,3,2,2,1,2,1,0,1,2,7,0,0,1
0,4,3,2,2,2,3,1,2,2,3,2,1,3,1,0,0,1,2,0,1,4
0,4,5,5,1,3,1,1,2,1,3,2,2,3,2,0,1,1,4,0,1,2
0,4,3,5,1,1,2,1,4,1,3,2,1,2,1,1,1,3,4,1,0,3
1,1,1,10,5,5,2,1,4,2,2,2,2,3,1,1,1,3,6,0,1,3
1,3,4,10,5,1,4,1,4,1,3,2,1,4,1,1,1,3,2,0,1,5
0,4,5,5,1,1,4,1,2,3,3,2,1,3,1,1,1,3,4,0,1,4
0,2,5,9,1,2,1,1,3,2,3,2,2,2,1,0,1,1,1,1,0,2
0,1,1,10,5,2,3,1,1,2,1,2,1,3,1,1,1,2,4,0,1,2
0,3,3,5,5,3,2,1,2,1,3,2,1,3,1,1,1,3,4,0,1,1
0,1,3,4,5,3,2,1,2,1,3,1,1,2,1,0,1,2,4,0,0,1
0,4,3,1,5,3,2,1,4,3,3,2,1,3,1,1,1,1,2,1,0,5
0,2,3,5,5,4,4,3,1,1,1,2,1,2,1,0,1,1,1,0,0,1
0,1,3,8,1,3,4,1,4,2,1,1,1,3,1,1,1,1,2,1,0,1
0,4,3,5,5,3,4,1,2,1,1,2,2,3,1,0,1,1,1,0,1,1
0,4,4,10,1,3,4,1,4,1,3,2,2,3,2,1,1,2,3,0,1,2
0,4,3,2,5,3,3,1,2,3,3,2,1,3,1,1,1,2,5,0,1,1
0,4,1,7,5,3,4,1,2,3,3,2,2,3,1,0,1,3,3,0,1,1
1,2,3,5,2,2,1,2,2,4,1,2,2,3,1,1,1,4,11,0,1,1
1,1,3,4,5,1,4,1,4,4,3,3,1,4,1,1,1,1,8,0,1,4
1,4,3,5,5,2,4,1,2,3,3,2,1,3,1,0,1,1,2,0,1,1
0,1,3,4,5,4,4,1,1,4,1,3,1,3,1,0,1,2,4,0,1,1
1,3,3,5,5,3,4,1,2,3,3,2,1,3,1,0,1,3,5,0,1,1
0,4,3,1,3,1,2,1,4,4,3,3,1,2,1,0,1,1,3,0,1,4
0,4,3,5,4,2,3,1,1,4,3,2,1,3,1,0,1,1,3,0,1,2
0,2,3,5,5,3,4,3,2,1,3,2,1,2,1,0,1,2,1,0,0,1
0,4,5,5,5,2,2,1,1,1,3,2,3,2,2,0,1,1,2,0,1,3
1,1,3,5,5,5,4,1,2,3,2,2,1,4,2,0,1,2,2,0,1,1
1,2,3,1,1,5,1,1,2,2,3,2,1,1,1,1,1,1,15,0,1,1
1,2,3,10,4,1,4,1,2,3,1,1,2,2,1,0,1,2,3,0,0,5
0,4,5,5,5,3,4,1,2,2,3,2,2,3,1,0,1,1,2,1,0,2
0,1,3,5,5,1,1,3,3,2,3,2,1,3,2,0,1,3,3,0,1,2
1,1,3,1,1,1,4,1,2,3,1,2,1,3,1,0,1,2,1,1,0,1
0,4,3,5,5,2,3,1,2,2,3,2,1,3,2,0,1,1,2,0,1,4
1,1,1,2,5,1,3,1,4,4,3,3,2,3,2,0,1,4,5,0,1,1
0,4,5,10,5,3,3,1,2,1,3,2,2,3,1,0,1,1,2,1,0,1
0,4,2,9,3,3,4,1,3,1,3,2,1,2,2,0,1,1,4,1,0,2
0,4,3,10,5,2,4,1,1,1,3,2,1,3,1,1,1,2,2,0,1,1
0,4,5,5,5,1,4,1,4,1,3,2,3,3,1,0,1,1,1,0,1,4
0,4,1,1,4,3,4,1,1,4,1,1,1,3,1,0,0,1,2,0,1,2
0,3,3,4,5,3,2,1,2,1,3,2,1,3,1,0,1,2,2,0,1,1
1,4,3,5,5,5,3,2,4,1,3,1,1,3,1,0,1,2,1,1,0,1
0,1,5,1,2,2,3,1,4,1,3,2,2,2,1,1,1,1,1,1,0,2
0,3,3,4,5,3,1,1,2,3,3,2,1,2,1,0,1,1,3,1,0,3
1,2,3,1,5,3,4,3,2,4,1,2,1,3,1,0,1,3,3,1,0,1
0,4,4,4,4,3,2,1,3,2,3,2,2,3,1,0,1,2,5,0,1,2
0,2,3,4,1,2,2,1,1,3,3,2,1,3,1,1,1,1,3,0,1,1
0,2,4,5,1,3,1,1,1,1,3,2,1,2,1,0,1,5,8,0,1,1
0,4,5,5,5,3,4,1,2,1,3,2,2,2,1,0,1,2,3,0,1,2
1,1,2,5,5,3,4,1,1,4,3,3,1,3,1,0,1,1,3,0,0,1
0,4,3,2,4,4,1,1,4,3,3,2,1,3,1,1,1,2,4,1,0,1
0,4,5,5,4,5,4,1,4,1,3,2,3,2,1,0,1,1,2,1,0,4
0,1,3,4,5,3,2,1,2,1,3,2,1,3,1,0,1,1,2,0,1,1
0,1,3,5,5,1,4,1,4,3,3,2,1,3,1,0,1,2,2,1,0,4
0,1,5,1,5,1,2,1,4,4,3,3,3,4,1,1,1,2,6,0,1,2
0,4,5,8,5,1,2,1,4,4,1,3,3,2,1,0,1,1,3,1,0,4
0,4,5,1,5,1,3,1,4,1,3,2,2,2,2,0,0,1,2,0,1,2
1,2,3,5,5,1,4,1,3,3,3,2,1,3,2,0,1,2,1,0,1,2
0,4,5,10,1,1,4,1,4,1,3,2,2,3,1,0,1,3,7,0,1,2
0,4,3,5,5,4,4,1,3,3,2,2,1,3,1,1,1,2,2,1,0,2
1,1,3,1,5,1,1,1,4,2,3,2,1,4,1,1,0,2,9,0,0,3
0,4,3,5,1,1,4,1,2,3,3,2,2,3,1,0,1,2,1,0,1,1
0,4,3,1,1,2,4,1,3,2,3,2,1,3,1,0,0,2,3,0,1,2
0,4,5,4,3,2,3,1,4,3,3,1,1,3,1,1,1,1,2,1,0,2
0,2,2,1,1,5,4,2,4,4,3,3,1,4,1,1,1,4,13,0,1,2
1,2,3,5,5,2,4,1,4,1,3,2,2,3,1,0,1,4,4,0,1,1
1,1,3,7,5,4,1,1,1,4,3,2,1,2,1,1,1,3,12,0,0,2
0,4,3,5,5,3,1,1,2,1,3,2,1,3,2,0,1,1,3,0,1,2
0,4,5,5,5,3,2,1,2,3,3,2,2,3,1,0,1,2,3,1,0,1
0,1,3,4,1,1,2,1,4,2,3,2,1,2,1,1,1,1,2,0,0,3
1,4,3,4,5,4,1,1,4,2,3,2,1,3,1,0,1,1,5,1,0,2
0,4,3,5,4,3,4,1,4,3,3,1,1,4,1,1,1,2,2,0,1,1
0,4,5,2,2,1,3,1,4,4,3,1,2,3,1,1,1,2,4,0,1,1
0,4,3,4,5,3,4,1,2,1,3,2,1,3,1,0,1,1,2,0,1,3
0,3,2,5,1,2,4,1,4,3,1,2,1,2,1,0,1,2,2,0,1,3
0,4,5,4,1,1,4,1,4,2,3,2,1,3,1,0,1,2,2,0,1,5
0,2,5,1,4,4,4,1,2,3,3,2,1,3,1,1,1,2,4,0,0,2
0,1,3,1,5,4,1,1,1,1,3,2,1,2,1,1,1,4,11,1,0,2
0,1,3,2,5,2,4,1,3,2,3,2,1,3,2,0,1,4,5,0,1,1
0,2,4,3,4,5,2,1,4,4,3,3,1,4,1,1,1,4,8,0,1,2
0,2,3,5,5,3,4,3,4,1,3,2,2,3,1,1,1,1,2,1,0,3
1,1,4,5,5,4,4,1,4,1,2,2,1,3,1,0,1,2,2,0,0,3
0,4,3,10,5,3,2,1,2,1,3,2,1,3,1,1,0,1,2,0,0,1
1,2,3,2,5,4,1,1,4,3,3,1,1,4,1,1,1,3,10,0,0,1
0,1,5,2,5,1,2,1,4,4,3,3,2,4,2,1,1,2,7,1,0,3
0,3,5,2,5,1,4,1,4,4,3,3,1,3,1,0,1,4,5,0,1,4
0,4,5,10,1,1,4,1,2,3,1,2,2,4,2,0,1,4,8,0,0,3
1,2,3,4,5,4,1,1,2,3,3,2,1,3,1,1,1,4,10,1,0,1
0,4,3,2,1,4,1,1,4,3,3,1,1,3,1,0,1,1,5,1,0,1
0,4,3,1,1,1,4,2,2,2,3,2,1,2,1,0,0,1,2,0,1,3
0,4,3,4,5,3,3,1,4,1,3,2,1,3,1,1,1,2,3,0,1,3
0,2,5,4,2,2,3,1,2,3,3,2,2,3,1,1,1,2,3,0,1,2
0,4,3,1,5,5,1,1,4,1,3,2,1,1,1,1,1,1,1,1,0,4
1,2,1,5,5,3,4,1,1,3,3,2,1,3,1,1,1,3,4,1,0,3
1,3,5,1,1,2,4,1,2,1,1,2,2,2,2,0,1,2,2,0,1,2
0,1,5,1,5,2,4,2,3,2,3,2,2,3,1,1,1,1,2,0,1,3
1,4,5,1,3,3,2,1,2,4,1,3,1,3,1,0,1,4,11,0,1,3
0,4,3,4,2,3,4,1,2,1,3,2,1,3,1,0,1,1,2,0,0,2
0,4,3,2,1,2,2,1,4,2,2,1,1,2,1,0,1,3,5,1,0,1
1,1,3,5,4,4,4,1,3,4,3,2,1,2,1,1,1,1,1,0,0,2
1,2,3,4,5,3,3,1,4,1,3,2,1,3,1,0,1,1,2,1,0,1
0,2,3,1,5,3,4,1,4,1,3,1,1,2,1,0,1,1,1,0,0,1
0,2,3,3,1,5,3,1,4,4,1,3,1,1,1,1,1,4,6,0,1,2
0,4,3,4,4,3,4,1,1,3,2,2,1,3,1,0,1,2,6,0,1,1
